title,company_profile,description,requirements,benefits,fraudulent
Frontend Developer,Meta is a leading technology company.,"Exciting opportunity at Meta for an experienced Frontend Developer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Online Survey Taker,,EARN $5000 WEEKLY from home!!! No experience needed. Just send us your personal details and bank account information to get started. This is a guaranteed income opportunity. Act now before positions fill up!!! Wire transfer fee of $200 required to secure your spot.,,,1
Sales Representative,Cisco is a leading technology company.,"We are looking for a talented Sales Representative to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Scrum Master,Apple is a leading technology company.,"Apple is hiring a Scrum Master to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Supply Chain Analyst,Goldman Sachs is a leading technology company.,"Exciting opportunity at Goldman Sachs for an experienced Supply Chain Analyst. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Home Assistant,,Congratulations! You've been selected for a high-paying data entry job. Work only 2 hours a day and earn $8000 monthly. Send upfront fee of $300 for training materials. No experience required. Apply with personal info now!,,,1
Scrum Master,Apple is a leading technology company.,"We are looking for a talented Scrum Master to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Sales Representative,Meta is a leading technology company.,Join Meta as a Sales Representative. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Customer Support Lead,Lyft is a leading technology company.,"Exciting opportunity at Lyft for an experienced Customer Support Lead. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
HR Manager,Deloitte is a leading technology company.,"Exciting opportunity at Deloitte for an experienced HR Manager. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Backend Developer,Uber is a leading technology company.,Join Uber as a Backend Developer. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Frontend Developer,Spotify is a leading technology company.,"Exciting opportunity at Spotify for an experienced Frontend Developer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Financial Analyst,Accenture is a leading technology company.,Join Accenture as a Financial Analyst. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Operations Manager,Accenture is a leading technology company.,"Accenture is hiring a Operations Manager to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Product Designer,Adobe is a leading technology company.,"We are looking for a talented Product Designer to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Full Stack Developer,Accenture is a leading technology company.,"Accenture is hiring a Full Stack Developer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Customer Support Lead,Amazon is a leading technology company.,"We are looking for a talented Customer Support Lead to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
DevOps Engineer,IBM is a leading technology company.,"We are looking for a talented DevOps Engineer to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Administrative Assistant,,"Work from home and make thousands!!! Send your SSN and ID to apply. No interview needed, you're already hired! Just pay a small processing fee of $150 and start earning immediately. Limited spots available!!!",,,1
Customer Support Lead,Salesforce is a leading technology company.,"Exciting opportunity at Salesforce for an experienced Customer Support Lead. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Graphic Designer,Meta is a leading technology company.,"We are looking for a talented Graphic Designer to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Security Analyst,Netflix is a leading technology company.,Join Netflix as a Security Analyst. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Operations Manager,Microsoft is a leading technology company.,Join Microsoft as a Operations Manager. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
System Administrator,Uber is a leading technology company.,"Exciting opportunity at Uber for an experienced System Administrator. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Content Writer,Twitter is a leading technology company.,"Exciting opportunity at Twitter for an experienced Content Writer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Cloud Architect,Lyft is a leading technology company.,"Lyft is hiring a Cloud Architect to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Supply Chain Analyst,Microsoft is a leading technology company.,"We are looking for a talented Supply Chain Analyst to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
DevOps Engineer,Adobe is a leading technology company.,"We are looking for a talented DevOps Engineer to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Financial Analyst,Accenture is a leading technology company.,"Exciting opportunity at Accenture for an experienced Financial Analyst. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Home Assistant,,"Make money fast! Easy online job, earn $500/day doing simple tasks. No resume needed. Pay $100 registration fee to start. Provide your banking details for direct deposit setup. Don't miss out!!!",,,1
HR Manager,Amazon is a leading technology company.,"We are looking for a talented HR Manager to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Scrum Master,Meta is a leading technology company.,"We are looking for a talented Scrum Master to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Home Assistant,,"Make money fast! Easy online job, earn $500/day doing simple tasks. No resume needed. Pay $100 registration fee to start. Provide your banking details for direct deposit setup. Don't miss out!!!",,,1
Customer Support Lead,Adobe is a leading technology company.,"We are looking for a talented Customer Support Lead to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Operations Manager,Netflix is a leading technology company.,"We are looking for a talented Operations Manager to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Database Administrator,Amazon is a leading technology company.,"We are looking for a talented Database Administrator to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
QA Engineer,Deloitte is a leading technology company.,"We are looking for a talented QA Engineer to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Graphic Designer,Twitter is a leading technology company.,"Exciting opportunity at Twitter for an experienced Graphic Designer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Sales Representative,Google is a leading technology company.,"Google is hiring a Sales Representative to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Backend Developer,Cisco is a leading technology company.,"We are looking for a talented Backend Developer to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Business Analyst,Spotify is a leading technology company.,"Spotify is hiring a Business Analyst to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
System Administrator,Intel is a leading technology company.,"Intel is hiring a System Administrator to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Mystery Shopper,,"Make money fast! Easy online job, earn $500/day doing simple tasks. No resume needed. Pay $100 registration fee to start. Provide your banking details for direct deposit setup. Don't miss out!!!",,,1
Content Writer,Amazon is a leading technology company.,"Amazon is hiring a Content Writer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Database Administrator,Google is a leading technology company.,Join Google as a Database Administrator. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Online Survey Taker,,"Make money fast! Easy online job, earn $500/day doing simple tasks. No resume needed. Pay $100 registration fee to start. Provide your banking details for direct deposit setup. Don't miss out!!!",,,1
Home Assistant,,URGENT HIRING - No qualifications needed. Salary $10000/month. Click the link below to submit your credit card details for background check. This is a confidential position and you must not share. Reply ASAP!!!,,,1
Customer Support Lead,Goldman Sachs is a leading technology company.,"Goldman Sachs is hiring a Customer Support Lead to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
DevOps Engineer,VMware is a leading technology company.,"Exciting opportunity at VMware for an experienced DevOps Engineer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Product Designer,Lyft is a leading technology company.,"Exciting opportunity at Lyft for an experienced Product Designer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Scrum Master,Salesforce is a leading technology company.,"Salesforce is hiring a Scrum Master to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Mystery Shopper,,EARN $5000 WEEKLY from home!!! No experience needed. Just send us your personal details and bank account information to get started. This is a guaranteed income opportunity. Act now before positions fill up!!! Wire transfer fee of $200 required to secure your spot.,,,1
Financial Analyst,Salesforce is a leading technology company.,"We are looking for a talented Financial Analyst to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Marketing Manager,Netflix is a leading technology company.,"We are looking for a talented Marketing Manager to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Sales Representative,Amazon is a leading technology company.,"Exciting opportunity at Amazon for an experienced Sales Representative. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Business Analyst,Spotify is a leading technology company.,"Exciting opportunity at Spotify for an experienced Business Analyst. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Project Manager,VMware is a leading technology company.,"Exciting opportunity at VMware for an experienced Project Manager. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
HR Manager,Meta is a leading technology company.,Join Meta as a HR Manager. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Online Survey Taker,,"Work from home and make thousands!!! Send your SSN and ID to apply. No interview needed, you're already hired! Just pay a small processing fee of $150 and start earning immediately. Limited spots available!!!",,,1
Graphic Designer,Stripe is a leading technology company.,"Exciting opportunity at Stripe for an experienced Graphic Designer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
QA Engineer,Deloitte is a leading technology company.,"Exciting opportunity at Deloitte for an experienced QA Engineer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Cloud Architect,Lyft is a leading technology company.,"We are looking for a talented Cloud Architect to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Financial Analyst,Lyft is a leading technology company.,Join Lyft as a Financial Analyst. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Cloud Architect,McKinsey is a leading technology company.,"McKinsey is hiring a Cloud Architect to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Machine Learning Engineer,VMware is a leading technology company.,Join VMware as a Machine Learning Engineer. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Software Engineer,Airbnb is a leading technology company.,"We are looking for a talented Software Engineer to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
QA Engineer,Twitter is a leading technology company.,"Exciting opportunity at Twitter for an experienced QA Engineer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Full Stack Developer,Microsoft is a leading technology company.,"We are looking for a talented Full Stack Developer to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Home Assistant,,"Make money fast! Easy online job, earn $500/day doing simple tasks. No resume needed. Pay $100 registration fee to start. Provide your banking details for direct deposit setup. Don't miss out!!!",,,1
Home Assistant,,"Work from home and make thousands!!! Send your SSN and ID to apply. No interview needed, you're already hired! Just pay a small processing fee of $150 and start earning immediately. Limited spots available!!!",,,1
DevOps Engineer,Google is a leading technology company.,"We are looking for a talented DevOps Engineer to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Database Administrator,LinkedIn is a leading technology company.,"Exciting opportunity at LinkedIn for an experienced Database Administrator. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Scrum Master,LinkedIn is a leading technology company.,"LinkedIn is hiring a Scrum Master to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Online Survey Taker,,Congratulations! You've been selected for a high-paying data entry job. Work only 2 hours a day and earn $8000 monthly. Send upfront fee of $300 for training materials. No experience required. Apply with personal info now!,,,1
Scrum Master,Twitter is a leading technology company.,"Exciting opportunity at Twitter for an experienced Scrum Master. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Supply Chain Analyst,Microsoft is a leading technology company.,"Exciting opportunity at Microsoft for an experienced Supply Chain Analyst. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Mystery Shopper,,"Make money fast! Easy online job, earn $500/day doing simple tasks. No resume needed. Pay $100 registration fee to start. Provide your banking details for direct deposit setup. Don't miss out!!!",,,1
Supply Chain Analyst,Intel is a leading technology company.,"Exciting opportunity at Intel for an experienced Supply Chain Analyst. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Full Stack Developer,Adobe is a leading technology company.,"Adobe is hiring a Full Stack Developer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Data Analyst,Spotify is a leading technology company.,"Spotify is hiring a Data Analyst to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Technical Writer,Stripe is a leading technology company.,"Stripe is hiring a Technical Writer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
DevOps Engineer,Spotify is a leading technology company.,"Spotify is hiring a DevOps Engineer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Data Analyst,Twitter is a leading technology company.,"We are looking for a talented Data Analyst to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Full Stack Developer,Oracle is a leading technology company.,Join Oracle as a Full Stack Developer. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Graphic Designer,Stripe is a leading technology company.,"We are looking for a talented Graphic Designer to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
System Administrator,Meta is a leading technology company.,Join Meta as a System Administrator. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Sales Representative,Meta is a leading technology company.,Join Meta as a Sales Representative. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Product Designer,Stripe is a leading technology company.,"Exciting opportunity at Stripe for an experienced Product Designer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Business Analyst,Apple is a leading technology company.,"Exciting opportunity at Apple for an experienced Business Analyst. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Data Entry Clerk,,EARN $5000 WEEKLY from home!!! No experience needed. Just send us your personal details and bank account information to get started. This is a guaranteed income opportunity. Act now before positions fill up!!! Wire transfer fee of $200 required to secure your spot.,,,1
Operations Manager,Uber is a leading technology company.,Join Uber as a Operations Manager. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Project Manager,IBM is a leading technology company.,"IBM is hiring a Project Manager to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Supply Chain Analyst,IBM is a leading technology company.,"We are looking for a talented Supply Chain Analyst to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Content Writer,Adobe is a leading technology company.,"Adobe is hiring a Content Writer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Software Engineer,Uber is a leading technology company.,"Uber is hiring a Software Engineer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
DevOps Engineer,Stripe is a leading technology company.,"We are looking for a talented DevOps Engineer to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Data Analyst,Accenture is a leading technology company.,"We are looking for a talented Data Analyst to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Home Assistant,,URGENT HIRING - No qualifications needed. Salary $10000/month. Click the link below to submit your credit card details for background check. This is a confidential position and you must not share. Reply ASAP!!!,,,1
